# ★ODDF の 残り 1本 と ODDL の 6本を 実Excel に 聞いた★（2026-09-18）
#
# ★問いは 紙から 機械で 拾いました★ ... kansuu46/oddf-nokori-1pon-kiku-koto.md
# ★材料は 要りません★（全部 その場の 日付）
#
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# ★どの 文字コードか★ ... ANSI 932 ／ ja-JP
#
# 番	式	答え	出る字	=(式)=0	型
1	=ODDFPRICE(DATE(2009,3,10), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,30), 0, 0.05, 100, 4, 1)	-2146826252	#NUM!	-2146826252	Other
2	=ODDFPRICE(DATE(2009,3,10), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,30), 0.045, 0, 100, 4, 1)	-2146826252	#NUM!	-2146826252	Other
3	=ODDFPRICE(DATE(2009,3,10), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,30), 0.045, 0.05, 100, 4, 1)	-2146826252	#NUM!	-2146826252	Other
4	=ODDFPRICE(DATE(2009,3,10), DATE(2015,5,31), DATE(2008,12,5), DATE(2009,8,31), 0, 0.05, 100, 4, 1)	72.496257507243314	72.49626	False	Double
5	=ODDFPRICE(DATE(2009,3,10), DATE(2015,5,31), DATE(2008,12,5), DATE(2009,8,31), 0.045, 0, 100, 4, 1)	128.00271739130437	128.0027	False	Double
6	=ODDFPRICE(DATE(2009,3,10), DATE(2015,5,31), DATE(2008,12,5), DATE(2009,8,31), 0.045, 0.05, 100, 4, 1)	96.086101052530168	96.0861	False	Double
7	=ODDFPRICE(DATE(2009,6,10), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,31), 0, 0.05, 100, 4, 1)	74.319991485159889	74.31999	False	Double
8	=ODDFPRICE(DATE(2009,6,10), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,31), 0.045, 0, 100, 4, 1)	125.75271739130437	125.7527	False	Double
9	=ODDFPRICE(DATE(2009,6,10), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,31), 0.045, 0.05, 100, 4, 1)	96.26845145137699	96.26845	False	Double
10	=COUPDAYS(DATE(2009,3,10), DATE(2015,5,31), 4, 1)	89	89	False	Double
11	=COUPDAYS(DATE(2009,6,10), DATE(2015,2,28), 4, 1)	92	92	False	Double
12	=ODDFPRICE(DATE(2009,3,10), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,31), 0.045, 0.05, 100, 4, 1)	96.1767213744142	96.17672	False	Double
# ★★押すのに かかった 秒 ... 0.41★★
