# ★ODDF の 残り 1本 と ODDL の 6本を 実Excel に 聞いた★（2026-09-18）
#
# ★問いは 紙から 機械で 拾いました★ ... kansuu46/oddf-nokori-1pon-kiku-koto.md
# ★材料は 要りません★（全部 その場の 日付）
#
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# ★どの 文字コードか★ ... ANSI 932 ／ ja-JP
#
# 番	式	答え	出る字	=(式)=0	型
1	=ODDFPRICE(DATE(2009,3,15), DATE(2013,2,15), DATE(2008,12,5), DATE(2009,8,15), 0, 0.05, 100, 4, 1)	82.295635488889062	82.29564	False	Double
2	=ODDFPRICE(DATE(2009,4,16), DATE(2013,2,15), DATE(2008,12,5), DATE(2009,8,15), 0, 0.05, 100, 4, 1)	82.664033039354237	82.66403	False	Double
3	=ODDFPRICE(DATE(2009,4,15), DATE(2013,2,15), DATE(2008,12,5), DATE(2009,8,15), 0, 0.05, 100, 4, 1)	82.652495691708609	82.6525	False	Double
4	=ODDFPRICE(DATE(2009,3,16), DATE(2013,2,15), DATE(2008,12,5), DATE(2009,8,15), 0, 0.05, 100, 4, 1)	82.307123022912151	82.30712	False	Double
5	=ODDFPRICE(DATE(2009,5,1), DATE(2013,2,15), DATE(2008,12,5), DATE(2009,8,15), 0, 0.05, 100, 4, 1)	82.837286637875948	82.83729	False	Double
6	=ODDFPRICE(DATE(2009,3,10), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,31), 0.045, 0.05, 100, 4, 1)	96.1767213744142	96.17672	False	Double
7	=ODDFPRICE(DATE(2009,4,30), DATE(2013,2,15), DATE(2008,12,5), DATE(2009,8,15), 0, 0.05, 100, 4, 1)	82.825725109375327	82.82573	False	Double
8	=ODDFPRICE(DATE(2009,3,31), DATE(2013,2,15), DATE(2008,12,5), DATE(2009,8,15), 0, 0.05, 100, 4, 1)	82.4796285821425	82.47963	False	Double
9	=ODDFPRICE(DATE(2009,3,14), DATE(2013,2,15), DATE(2008,12,5), DATE(2009,8,15), 0, 0.05, 100, 4, 1)	82.284149558171165	82.28415	False	Double
10	=ODDFPRICE(DATE(2009,4,14), DATE(2013,2,15), DATE(2008,12,5), DATE(2009,8,15), 0, 0.05, 100, 4, 1)	82.640959954320635	82.64096	False	Double
11	=ODDFPRICE(DATE(2009,5,14), DATE(2013,2,15), DATE(2008,12,5), DATE(2009,8,15), 0, 0.05, 100, 4, 1)	82.987733451474455	82.98773	False	Double
12	=ODDFPRICE(DATE(2009,3,10), DATE(2013,2,15), DATE(2008,12,5), DATE(2009,8,15), 0, 0.05, 100, 4, 1)	82.238221863876547	82.23822	False	Double
# ★★押すのに かかった 秒 ... 0.49★★
