# ★ODDF の 残り 1本 と ODDL の 6本を 実Excel に 聞いた★（2026-09-18）
#
# ★問いは 紙から 機械で 拾いました★ ... kansuu46/oddf-nokori-1pon-kiku-koto.md
# ★材料は 要りません★（全部 その場の 日付）
#
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# ★どの 文字コードか★ ... ANSI 932 ／ ja-JP
#
# 番	式	答え	出る字	=(式)=0	型
1	=ODDLPRICE(DATE(2009,2,27), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0, 100,4,0)	102.3125	102.3125	False	Double
2	=ODDLPRICE(DATE(2009,2,27), DATE(2009,8,31), DATE(2008,11,30), 0, 0.05, 100,4,0)	97.54775775640158	97.54776	False	Double
3	=ODDLPRICE(DATE(2009,2,27), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0.05, 100,4,0)	99.776881520119233	99.77688	False	Double
4	=ODDLPRICE(DATE(2009,2,28), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0, 100,4,0)	102.30000000000001	102.3	False	Double
5	=ODDLPRICE(DATE(2009,2,28), DATE(2009,8,31), DATE(2008,11,30), 0, 0.05, 100,4,0)	97.5609756097561	97.56098	False	Double
6	=ODDLPRICE(DATE(2009,2,28), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0.05, 100,4,0)	99.778048780487822	99.77805	False	Double
7	=ODDLPRICE(DATE(2009,3,1), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0, 100,4,0)	102.26221590909091	102.2622	False	Double
8	=ODDLPRICE(DATE(2009,3,1), DATE(2009,8,31), DATE(2008,11,30), 0, 0.05, 100,4,0)	97.57449757449757	97.5745	False	Double
9	=ODDLPRICE(DATE(2009,3,1), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0.05, 100,4,0)	99.7542464011214	99.75425	False	Double
10	=ODDLPRICE(DATE(2009,5,31), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0, 100,4,0)	101.11250000000001	101.1125	False	Double
11	=ODDLPRICE(DATE(2009,5,31), DATE(2009,8,31), DATE(2008,11,30), 0, 0.05, 100,4,0)	98.792535675082334	98.79254	False	Double
12	=ODDLPRICE(DATE(2009,5,31), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0.05, 100,4,0)	99.863981888035141	99.86398	False	Double
# ★★押すのに かかった 秒 ... 0.48★★
