# ★ODDF の 残り 1本 と ODDL の 6本を 実Excel に 聞いた★（2026-09-18）
#
# ★問いは 紙から 機械で 拾いました★ ... kansuu46/oddf-nokori-1pon-kiku-koto.md
# ★材料は 要りません★（全部 その場の 日付）
#
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# ★どの 文字コードか★ ... ANSI 932 ／ ja-JP
#
# 番	式	答え	出る字	=(式)=0	型
1	=ODDFPRICE(DATE(2009,4,30), DATE(2013,2,28), DATE(2008,12,5), DATE(2009,8,28), 0, 0.05, 100, 4, 1)	-2146826252	#NUM!	-2146826252	Other
2	=ODDFPRICE(DATE(2009,6,30), DATE(2013,6,30), DATE(2009,1,15), DATE(2009,9,30), 0, 0.05, 100, 4, 1)	81.97463466123024	81.97463	False	Double
3	=ODDFPRICE(DATE(2009,4,15), DATE(2013,2,28), DATE(2008,12,5), DATE(2009,8,28), 0, 0.05, 100, 4, 1)	-2146826252	#NUM!	-2146826252	Other
4	=ODDFPRICE(DATE(2009,4,5), DATE(2013,6,30), DATE(2009,1,15), DATE(2009,9,30), 0, 0.05, 100, 4, 1)	80.017661740044417	80.01766	False	Double
5	=ODDFPRICE(DATE(2009,6,29), DATE(2013,6,30), DATE(2009,1,15), DATE(2009,9,30), 0, 0.05, 100, 4, 1)	81.963444968540372	81.96344	False	Double
6	=ODDFPRICE(DATE(2009,5,15), DATE(2013,2,28), DATE(2008,12,5), DATE(2009,8,28), 0, 0.05, 100, 4, 1)	-2146826252	#NUM!	-2146826252	Other
7	=ODDFPRICE(DATE(2009,4,28), DATE(2013,2,28), DATE(2008,12,5), DATE(2009,8,28), 0, 0.05, 100, 4, 1)	-2146826252	#NUM!	-2146826252	Other
8	=ODDFPRICE(DATE(2009,5,15), DATE(2013,6,30), DATE(2009,1,15), DATE(2009,9,30), 0, 0.05, 100, 4, 1)	80.455789146563944	80.45579	False	Double
9	=ODDFPRICE(DATE(2009,5,28), DATE(2013,2,28), DATE(2008,12,5), DATE(2009,8,28), 0, 0.05, 100, 4, 1)	-2146826252	#NUM!	-2146826252	Other
10	=ODDFPRICE(DATE(2009,5,30), DATE(2013,6,30), DATE(2009,1,15), DATE(2009,9,30), 0, 0.05, 100, 4, 1)	80.620704690532946	80.6207	False	Double
11	=ODDFPRICE(DATE(2009,6,15), DATE(2013,6,30), DATE(2009,1,15), DATE(2009,9,30), 0, 0.05, 100, 4, 1)	81.8069495545482	81.80695	False	Double
12	=ODDFPRICE(DATE(2009,3,31), DATE(2013,2,28), DATE(2008,12,5), DATE(2009,8,28), 0, 0.05, 100, 4, 1)	-2146826252	#NUM!	-2146826252	Other
13	=ODDFPRICE(DATE(2009,4,30), DATE(2013,6,30), DATE(2009,1,15), DATE(2009,9,30), 0, 0.05, 100, 4, 1)	81.294851086261133	81.29485	False	Double
14	=ODDFPRICE(DATE(2009,3,10), DATE(2013,2,28), DATE(2008,12,5), DATE(2009,8,28), 0, 0.05, 100, 4, 1)	-2146826252	#NUM!	-2146826252	Other
15	=ODDFPRICE(DATE(2009,3,10), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,31), 0.045, 0.05, 100, 4, 1)	96.1767213744142	96.17672	False	Double
16	=ODDFPRICE(DATE(2009,5,31), DATE(2013,6,30), DATE(2009,1,15), DATE(2009,9,30), 0, 0.05, 100, 4, 1)	81.639607460007838	81.63961	False	Double
17	=ODDFPRICE(DATE(2009,5,27), DATE(2013,2,28), DATE(2008,12,5), DATE(2009,8,28), 0, 0.05, 100, 4, 1)	-2146826252	#NUM!	-2146826252	Other
# ★★押すのに かかった 秒 ... 0.47★★
