# ★ODDF の 残り 1本 と ODDL の 6本を 実Excel に 聞いた★（2026-09-18）
#
# ★問いは 紙から 機械で 拾いました★ ... kansuu46/oddf-nokori-1pon-kiku-koto.md
# ★材料は 要りません★（全部 その場の 日付）
#
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# ★どの 文字コードか★ ... ANSI 932 ／ ja-JP
#
# 番	式	答え	出る字	=(式)=0	型
1	=ODDFPRICE(DATE(2008,1,15), DATE(2012,6,30), DATE(2007,11,20), DATE(2008,6,30), 0.045, 0, 100, 2, 1)	120.05327868852459	120.0533	False	Double
2	=ODDFPRICE(DATE(2008,1,15), DATE(2012,6,30), DATE(2007,11,20), DATE(2008,6,30), 0, 0.05, 100, 2, 1)	78.278984166230785	78.27898	False	Double
3	=ODDFPRICE(DATE(2008,1,15), DATE(2012,6,30), DATE(2007,11,20), DATE(2008,6,30), 0.045, 0.05, 100, 2, 1)	95.5921850664516	95.59219	False	Double
4	=ODDFPRICE(DATE(2009,3,1), DATE(2013,1,1), DATE(2009,1,1), DATE(2010,1,1), 0.06, 0, 100, 2, 1)	123.02209944751381	123.0221	False	Double
5	=ODDFPRICE(DATE(2009,3,1), DATE(2013,1,1), DATE(2009,1,1), DATE(2010,1,1), 0, 0.05, 100, 2, 1)	82.737939584255585	82.73794	False	Double
6	=ODDFPRICE(DATE(2009,3,1), DATE(2013,1,1), DATE(2009,1,1), DATE(2010,1,1), 0.06, 0.05, 100, 2, 1)	103.37232293583249	103.3723	False	Double
7	=COUPDAYS(DATE(2008,1,15), DATE(2012,6,30), 2, 1)	182	182	False	Double
8	=COUPPCD(DATE(2008,1,15), DATE(2012,6,30), 2)	39447	39447	False	Double
9	=COUPNCD(DATE(2008,1,15), DATE(2012,6,30), 2)	39629	39629	False	Double
10	=COUPDAYBS(DATE(2008,1,15), DATE(2012,6,30), 2, 1)	15	15	False	Double
# ★★押すのに かかった 秒 ... 0.44★★
