# ★ODDF の 残り 1本 と ODDL の 6本を 実Excel に 聞いた★（2026-09-18）
#
# ★問いは 紙から 機械で 拾いました★ ... kansuu46/oddf-nokori-1pon-kiku-koto.md
# ★材料は 要りません★（全部 その場の 日付）
#
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# ★どの 文字コードか★ ... ANSI 932 ／ ja-JP
#
# 番	式	答え	出る字	=(式)=0	型
1	=ODDFPRICE(DATE(2009,6,1), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,31), 0, 0.05, 100, 4, 1)	74.229729230576268	74.22973	False	Double
2	=ODDFPRICE(DATE(2009,3,1), DATE(2013,1,1), DATE(2009,1,5), DATE(2010,1,1), 0.06, 0, 100, 2, 1)	123.02209944751381	123.0221	False	Double
3	=ODDFPRICE(DATE(2009,5,30), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,31), 0, 0.05, 100, 4, 1)	75.13730691676264	75.13731	False	Double
4	=ODDFPRICE(DATE(2009,3,1), DATE(2013,1,1), DATE(2009,1,5), DATE(2010,1,1), 0.06, 0.05, 100, 2, 1)	103.37500759176243	103.375	False	Double
5	=ODDFPRICE(DATE(2009,3,10), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,31), 0, 0.05, 100, 4, 1)	73.402460726083845	73.40246	False	Double
6	=ODDFPRICE(DATE(2009,3,1), DATE(2013,1,1), DATE(2009,1,5), DATE(2010,1,1), 0, 0.05, 100, 2, 1)	82.737939584255585	82.73794	False	Double
7	=ODDFPRICE(DATE(2009,6,10), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,31), 0, 0.05, 100, 4, 1)	74.319991485159889	74.31999	False	Double
8	=ODDFPRICE(DATE(2009,3,10), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,31), 0.045, 0.05, 100, 4, 1)	96.1767213744142	96.17672	False	Double
9	=ODDFPRICE(DATE(2009,5,31), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,31), 0, 0.05, 100, 4, 1)	75.147453196301441	75.14745	False	Double
# ★★押すのに かかった 秒 ... 0.41★★
