# ★Excel が 作った 物を うちで 開いて 突き合わせた★（2026-09-11）
#
# ★この 向きは 今日 初めて 測りました★（お客さんが 一番 よく やる 道）
# ★お客さんの 入口（Excelを読み込む）に 実物を 渡して います★
#
# マス	実Excel の 式	うちの 式	実Excel の 答え	うちの 答え	判じ	何を 見て いるか
D1	=XIRR(A1:A3,B1:B3)	=XIRR(A1:A3,B1:B3)	1.00119332075119	1.001193321313284	1.001193	1.001193	合った	お金の 利回り
D2	=MIRR(A1:A3,0.1,0.12)	=MIRR(A1:A3,0.1,0.12)	0.17132403714770583	0.17132403714770583	17%	17%	合った	お金の 利回り
D3	=XNPV(0.1,A1:A3,B1:B3)	=XNPV(0.1,A1:A3,B1:B3)	253.4216596369007	253.4216596369007	253.4217	253.4217	合った	お金の 今の 値
D4	=1/3	=1/3	0.3333333333333333	0.3333333333333333	0.333333	0.333333	合った	割り切れない 数の 出る字
D5	=206800/1.1	=206800/1.1	187999.99999999997	187999.99999999997	188000	188000	合った	税抜き
D6	=0.0000000000000164	=0.0000000000000164	1.64E-14	1.64e-14	1.64E-14	1.64E-14	合った	とても 小さい 数
G1	=SORT(E1:E5)	=_xlws.SORT(E1:E5)	1	1	1	1	合った	溢れ（並べ替え）
H1	=UNIQUE(E1:E5)	=UNIQUE(E1:E5)	3	3	3	3	合った	溢れ（重なりを 取る）
I1	=SEQUENCE(3)	=SEQUENCE(3)	1	1	1	1	合った	溢れ（数を 並べる）
J1	=TEXT(E1,"#,##0.00")	=TEXT(E1,"#,##0.00")	3.00	3.00	3.00	3	★1つ 違う★	書式の 字
K1	=TODAY()-TODAY()	=TODAY()-TODAY()	0	0	0	0	合った	日付の 引き算（0 に なる）
G2			1	1	1	1	合った	溢れの 先
G3			3	3	3	3	合った	溢れの 先
H2			1	1	1	1	合った	溢れの 先（重なりを 取る）
I2			2	2	2	2	合った	溢れの 先（数を 並べる）
A5	1234567.891		1234567.891	1234567.891	####	####	合った	桁区切りの 書式（★列は 狭い★）
A6	0.1234		0.1234	0.1234	12.3%	12.3%	合った	割合の 書式（★列は 狭い★）
A8	100000		100000	100000	####	####	合った	★狭い 列＝##### に なるか★
C8	むすんだ マス		むすんだ マス	むすんだ マス	むすんだ マス	むすんだ マス	合った	結合した マス
#
# ★★締め★★ 全 19本 ／ 合った 18 ／ ★違う 1★
