# ★1つの 式が 何マスにも 広がる（溢れ）を 実Excel に 聞いた★（2026-09-13）
#
# ★借り物を 自作で 外す 為＝土台の ⑤枚目★
#
# ★材料★ A1=1 A2=2 A3=3 / B1=10 B2=20 B3=30
# ★式は E1 に 置く★／広がった 先は E1:G5 を なめて 読む
#
# ★どの Excel か★ … 版 16.0 / build 20326
#
# ★型★と★本当にゼロか★も 取って います（「0」を 1つの 窓だけで 取らない）
# 式	ジャマ	E1の字	型	本当にゼロか	広がった形	広がった先の字	何を 見て いるか
# ★★材料（機械が 読む）★★ … `#材料<タブ>マス<タブ>値` の 形
#   ★2026-09-14 に 足しました★。★新しく 測った 物では ありません★＝
#   この 紙の 頭の「★材料★ A1=1 A2=2 A3=3 / B1=10 B2=20 B3=30」を 機械の 形に した だけ。
#   ★訳★＝材料が 文章だと 使う 道具が めいめい 手で 写す（写し間違えれば 紙は緑・本番は赤）。
#   ★答えの 行は 1行も 触って いません★（足したのは # の行だけ）
#材料	A1	1
#材料	A2	2
#材料	A3	3
#材料	B1	10
#材料	B2	20
#材料	B3	30
=A1:A3	まっさら	1	Number	—	1x1	E2=2 E3=3	★四角を そのまま 打つ（下に 広がるか）★
=A1:A3*2	まっさら	2	Number	—	1x1	E2=4 E3=6	★四角に 掛ける★
=A1:B2	まっさら	1	Number	—	1x1	F1=10 E2=2 F2=20	★2列×2行（横にも 広がるか）★
=A1:A3+B1:B3	まっさら	11	Number	—	1x1	E2=22 E3=33	★四角どうしを 足す★
=A1:A3+B1:B2	まっさら	11	Number	—	1x1	E2=22 E3=#N/A	★形が 違う 四角どうし★
=A1:A3	ジャマ	#スピル!	Number	—	1x1	E2=9	★溢れる先に 物が 在る（#SPILL! か）★
=A1:A3	ジャマ字	#スピル!	Number	—	1x1	E2=あ	★溢れる先に 字が 在る★
=A1:A3	ジャマ空字	#スピル!	Number	—	1x1	—	★溢れる先に 空の字("") が 在る★
=SUM(A1:A3)	まっさら	6	Number	—	1x1	—	関数は 溢れないはず
=@A1:A3	まっさら	1	Number	—	1x1	—	★@ を 付けると 1マスに なるか（暗黙の交差）★
=A1:A3&"x"	まっさら	1x	String	—	1x1	E2=2x E3=3x	★四角に 字を つなぐ★
=-A1:A3	まっさら	-1	Number	—	1x1	E2=-2 E3=-3	★四角に 前置きの マイナス★
=A1:A3=1	まっさら	TRUE	Boolean	—	1x1	E2=FALSE E3=FALSE	★四角の 大小くらべ★
=IF(A1:A3>1,1,0)	まっさら	0	Number	TRUE	1x1	E2=1 E3=1	★関数の 引数に 四角（溢れるか）★
=ROW(A1:A3)	まっさら	1	Number	—	1x1	E2=2 E3=3	★ROW に 四角★
=A1:A3	下が式	#スピル!	Number	—	1x1	E2=2	★溢れる先が 別の 式★
