# ★ODDF の 残り 1本 と ODDL の 6本を 実Excel に 聞いた★（2026-09-18）
#
# ★問いは 紙から 機械で 拾いました★ ... kansuu46/oddf-nokori-1pon-kiku-koto.md
# ★材料は 要りません★（全部 その場の 日付）
#
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# ★どの 文字コードか★ ... ANSI 932 ／ ja-JP
#
# 番	式	答え	出る字	=(式)=0	型
1	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,30), DATE(2008,11,30), 0.045, 0, 100,4,0)	102.1471590909091	102.1472	False	Double
2	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,30), DATE(2008,11,30), 0, 0.05, 100,4,0)	97.696364140993609	97.69636	False	Double
3	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,30), DATE(2008,11,30), 0.045, 0.05, 100,4,0)	99.765199612696492	99.7652	False	Double
4	=ODDLPRICE(DATE(2009,3,10), DATE(2009,7,20), DATE(2008,11,30), 0.045, 0, 100,4,0)	101.6471590909091	101.6472	False	Double
5	=ODDLPRICE(DATE(2009,3,10), DATE(2009,7,20), DATE(2008,11,30), 0, 0.05, 100,4,0)	98.202716693841879	98.20272	False	Double
6	=ODDLPRICE(DATE(2009,3,10), DATE(2009,7,20), DATE(2008,11,30), 0.045, 0.05, 100,4,0)	99.797754568872392	99.79775	False	Double
7	=ODDLPRICE(DATE(2009,4,15), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0, 100,4,0)	101.69971590909091	101.6997	False	Double
8	=ODDLPRICE(DATE(2009,4,15), DATE(2009,8,31), DATE(2008,11,30), 0, 0.05, 100,4,0)	98.1731976014503	98.1732	False	Double
9	=ODDLPRICE(DATE(2009,4,15), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0.05, 100,4,0)	99.810802228990511	99.8108	False	Double
10	=COUPDAYBS(DATE(2009,4,15), DATE(2009,8,31), 4, 0)	45	45	False	Double
11	=COUPDAYS(DATE(2009,4,15), DATE(2009,8,31), 4, 0)	90	90	False	Double
# ★★押すのに かかった 秒 ... 0.42★★
