# ★ODDF の 残り 1本 と ODDL の 6本を 実Excel に 聞いた★（2026-09-18）
#
# ★問いは 紙から 機械で 拾いました★ ... kansuu46/oddf-nokori-1pon-kiku-koto.md
# ★材料は 要りません★（全部 その場の 日付）
#
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# ★どの 文字コードか★ ... ANSI 932 ／ ja-JP
#
# 番	式	答え	出る字	=(式)=0	型
1	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,29), DATE(2008,11,30), 0.045, 0, 100,4,0)	102.1346590909091	102.1347	False	Double
2	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,29), DATE(2008,11,30), 0, 0.05, 100,4,0)	97.696364140993609	97.69636	False	Double
3	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,29), DATE(2008,11,30), 0.045, 0.05, 100,4,0)	99.752987567178863	99.75299	False	Double
4	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,28), DATE(2008,11,30), 0.045, 0, 100,4,0)	102.12215909090909	102.1222	False	Double
5	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,28), DATE(2008,11,30), 0, 0.05, 100,4,0)	97.696364140993609	97.69636	False	Double
6	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,28), DATE(2008,11,30), 0.045, 0.05, 100,4,0)	99.740775521661234	99.74078	False	Double
7	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,29), DATE(2008,11,30), 0.045, 0, 100,4,1)	102.13582376648753	102.1358	False	Double
8	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,29), DATE(2008,11,30), 0, 0.05, 100,4,1)	97.694840834248083	97.69484	False	Double
9	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,29), DATE(2008,11,30), 0.045, 0.05, 100,4,1)	99.752583598015235	99.75258	False	Double
10	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,28), DATE(2008,11,30), 0.045, 0, 100,4,1)	102.12359550561797	102.1236	False	Double
11	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,28), DATE(2008,11,30), 0, 0.05, 100,4,1)	97.694840834248083	97.69484	False	Double
12	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,28), DATE(2008,11,30), 0.045, 0.05, 100,4,1)	99.740637218021917	99.74064	False	Double
# ★★押すのに かかった 秒 ... 0.43★★
