# ★ODDF の 残り 1本 と ODDL の 6本を 実Excel に 聞いた★（2026-09-18）
#
# ★問いは 紙から 機械で 拾いました★ ... kansuu46/oddf-nokori-1pon-kiku-koto.md
# ★材料は 要りません★（全部 その場の 日付）
#
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# ★どの 文字コードか★ ... ANSI 932 ／ ja-JP
#
# 番	式	答え	出る字	=(式)=0	型
1	=ODDLPRICE(DATE(2008,12,30), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0, 100,4,0)	103.025	103.025	False	Double
2	=ODDLPRICE(DATE(2008,12,30), DATE(2009,8,31), DATE(2008,11,30), 0, 0.05, 100,4,0)	96.800215111589125	96.80022	False	Double
3	=ODDLPRICE(DATE(2008,12,30), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0.05, 100,4,0)	99.716422425383172	99.71642	False	Double
4	=ODDLPRICE(DATE(2009,1,30), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0, 100,4,0)	102.65	102.65	False	Double
5	=ODDLPRICE(DATE(2009,1,30), DATE(2009,8,31), DATE(2008,11,30), 0, 0.05, 100,4,0)	97.192224622030224	97.19222	False	Double
6	=ODDLPRICE(DATE(2009,1,30), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0.05, 100,4,0)	99.746760259179268	99.74676	False	Double
7	=ODDLPRICE(DATE(2009,3,28), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0, 100,4,0)	101.91704545454546	101.917	False	Double
8	=ODDLPRICE(DATE(2009,3,28), DATE(2009,8,31), DATE(2008,11,30), 0, 0.05, 100,4,0)	97.941012799109629	97.94101	False	Double
9	=ODDLPRICE(DATE(2009,3,28), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0.05, 100,4,0)	99.78805268882482	99.78805	False	Double
10	=ODDLPRICE(DATE(2009,5,28), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0, 100,4,0)	101.15	101.15	False	Double
11	=ODDLPRICE(DATE(2009,5,28), DATE(2009,8,31), DATE(2008,11,30), 0, 0.05, 100,4,0)	98.76543209876543	98.76543	False	Double
12	=ODDLPRICE(DATE(2009,5,28), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0.05, 100,4,0)	99.87345679012347	99.87346	False	Double
13	=ODDLPRICE(DATE(2009,6,28), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0, 100,4,0)	100.775	100.775	False	Double
14	=ODDLPRICE(DATE(2009,6,28), DATE(2009,8,31), DATE(2008,11,30), 0, 0.05, 100,4,0)	99.173553719008268	99.17355	False	Double
15	=ODDLPRICE(DATE(2009,6,28), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0.05, 100,4,0)	99.920454545454561	99.92045	False	Double
# ★★押すのに かかった 秒 ... 0.56★★
