# ★ODDF の 残り 1本 と ODDL の 6本を 実Excel に 聞いた★（2026-09-18）
#
# ★問いは 紙から 機械で 拾いました★ ... kansuu46/oddf-nokori-1pon-kiku-koto.md
# ★材料は 要りません★（全部 その場の 日付）
#
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# ★どの 文字コードか★ ... ANSI 932 ／ ja-JP
#
# 番	式	答え	出る字	=(式)=0	型
1	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0, 100,4,1)	102.16028028822666	102.1603	False	Double
2	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0, 0.05, 100,4,1)	97.694840834248083	97.69484	False	Double
3	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0.05, 100,4,1)	99.776476358001872	99.77648	False	Double
4	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0, 100,4,2)	102.16028028822666	102.1603	False	Double
5	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0, 0.05, 100,4,2)	97.694840834248083	97.69484	False	Double
6	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0.05, 100,4,2)	99.776476358001872	99.77648	False	Double
7	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0, 100,4,3)	102.16028028822666	102.1603	False	Double
8	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0, 0.05, 100,4,3)	97.694840834248083	97.69484	False	Double
9	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0.05, 100,4,3)	99.776476358001872	99.77648	False	Double
10	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0, 100,4,4)	102.125	102.125	False	Double
11	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0, 0.05, 100,4,4)	97.719869706840385	97.71987	False	Double
12	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0.05, 100,4,4)	99.767345276872959	99.76735	False	Double
13	=ODDLPRICE(DATE(2009,7,15), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0, 100,4,1)	100.57472826086956	100.5747	False	Double
14	=ODDLPRICE(DATE(2009,7,15), DATE(2009,8,31), DATE(2008,11,30), 0, 0.05, 100,4,1)	99.405726634251749	99.40573	False	Double
15	=ODDLPRICE(DATE(2009,7,15), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0.05, 100,4,1)	99.960180161134986	99.96018	False	Double
16	=ODDLPRICE(DATE(2009,7,15), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0, 100,4,4)	100.5625	100.5625	False	Double
17	=ODDLPRICE(DATE(2009,7,15), DATE(2009,8,31), DATE(2008,11,30), 0, 0.05, 100,4,4)	99.406323346679542	99.40632	False	Double
18	=ODDLPRICE(DATE(2009,7,15), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0.05, 100,4,4)	99.948638340466658	99.94864	False	Double
19	=ODDLPRICE(DATE(2009,3,10), DATE(2009,10,20), DATE(2008,11,30), 0.045, 0, 100,4,0)	102.7721590909091	102.7722	False	Double
20	=ODDLPRICE(DATE(2009,3,10), DATE(2009,10,20), DATE(2008,11,30), 0, 0.05, 100,4,0)	97.011863129979957	97.01186	False	Double
21	=ODDLPRICE(DATE(2009,3,10), DATE(2009,10,20), DATE(2008,11,30), 0.045, 0.05, 100,4,0)	99.66374971187075	99.66375	False	Double
22	=ODDLPRICE(DATE(2009,3,10), DATE(2009,6,20), DATE(2008,11,30), 0.045, 0, 100,4,0)	101.2721590909091	101.2722	False	Double
23	=ODDLPRICE(DATE(2009,3,10), DATE(2009,6,20), DATE(2008,11,30), 0, 0.05, 100,4,0)	98.6061915226066	98.60619	False	Double
24	=ODDLPRICE(DATE(2009,3,10), DATE(2009,6,20), DATE(2008,11,30), 0.045, 0.05, 100,4,0)	99.843156949461516	99.84316	False	Double
# ★★押すのに かかった 秒 ... 0.44★★
