# ★実Excel に 打たせた AREAS の 答え（2回目・範囲で ない 物）★
# 取った 日 … 2026-09-07
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326
# ★1回目で =AREAS("A1") などが 打てなかった★ので、
#   ★Excel が 受け取る 形★（関数ごしに 字を 渡す 等）で 聞き直した。
# ★置いた 中身★ A1:I9 に 数（行*10+列）
# 関数	式	実Excel の 答え	型	どの 道で 入れたか
# ★★2026-09-21 追記（経営者1）── ★この 紙は `.Formula`（★昔の 道★）で 取って います★★
#   ＝`docs/measured/kansuu46/` の 道具 21本は `Formula2` を ★1本も 使って いません★
#   ＝`.Formula` は ★溢れません★（2026-09-19 実測）＝★暗黙の 交わりで 1マス★
#   ⇒★範囲を 渡した 式の 答えは ★1マス目だけ★です（★間違いでは なく 足りない★）
#   ⇒★実測（2026-09-21）★ この 紙の 範囲を 渡す 812本を `Formula2` で 打ち直すと
#      ★昔と 同じ 809本／★違う 3本★（ISERR/ISERROR/ISNUMBER の A1:B5）／★溢れた 416本★
#   ⇒★新しい 道の 紙★ ... docs/measured/golden-furui-kami-torinaoshi-2026-09-21.tsv
#   ⇒★この 紙を 物差しに する 試験は ★昔の 道を 守って います★★
AREAS	=AREAS(IF(TRUE,"x","y"))	#VALUE!	error値	ふつうに 打った
AREAS	=AREAS(IF(TRUE,A1,B1))	1	Double	ふつうに 打った
AREAS	=AREAS(CHOOSE(1,"x","y"))	#VALUE!	error値	ふつうに 打った
AREAS	=AREAS(INDIRECT("zzz"))	#REF!	error値	ふつうに 打った
AREAS	=AREAS(INDIRECT("A1")&"")	★Excel が 式として 受け取らない★	error	ふつうに 打った
AREAS	=AREAS(A1:B2 D5:E6)	#NULL!	error値	ふつうに 打った
AREAS	=AREAS((A1:B2 D5:E6,A1))	#NULL!	error値	ふつうに 打った
AREAS	=AREAS(OFFSET(A1,-5,0))	#REF!	error値	ふつうに 打った
AREAS	=AREAS(INDEX(A1:C3,99,1))	#REF!	error値	ふつうに 打った
AREAS	=AREAS(N(A1))	★Excel が 式として 受け取らない★	error	ふつうに 打った
AREAS	=AREAS(T(A1))	★Excel が 式として 受け取らない★	error	ふつうに 打った
AREAS	=AREAS(A1:A2^1)	★Excel が 式として 受け取らない★	error	ふつうに 打った
AREAS	=AREAS(SUM(A1:A2))	★Excel が 式として 受け取らない★	error	ふつうに 打った
AREAS	=AREAS(A1#)	#REF!	error値	ふつうに 打った
AREAS	=AREAS("A1")	★Excel が 式として 受け取らない★	error	字から 式に 変えた
AREAS	=AREAS(5)	★Excel が 式として 受け取らない★	error	字から 式に 変えた
AREAS	=AREAS(TRUE)	★Excel が 式として 受け取らない★	error	字から 式に 変えた
AREAS	=AREAS("")	★Excel が 式として 受け取らない★	error	字から 式に 変えた
AREAS	=AREAS(1/0)	★Excel が 式として 受け取らない★	error	字から 式に 変えた
AREAS	=AREAS(A1&"")	★Excel が 式として 受け取らない★	error	字から 式に 変えた
AREAS	=AREAS((A1,A2))	2	-	★ファイルに 書いて 開き直した★
AREAS	=AREAS(A1:B2 D5:E6)	#NULL!	-	★ファイルに 書いて 開き直した★
