=XLOOKUP(3,A1:A5,B1:B5)	合った	6
=XLOOKUP(A1,0,0,2,2)	合った	2
=N(A1:A5)	違う	0
=N(2)	違う	0
=N(5)	違う	0
=N(TRUE)	違う	0
=N("あ")	合った	0
=N(A1)	合った	1
=N(C1)	合った	0
=N(A1:B2)	違う	0
=DATESTRING(A1:A5)	名前が通らない	#NAME?
=DATESTRING(2)	違う	1900/1/1
=DATESTRING(5)	違う	1900/1/4
=DATESTRING(TRUE)	名前が通らない	#NAME?
=DATESTRING(A1)	違う	1899/12/31
=DATESTRING(C1)	違う	NaN/NaN/NaN
=OFFSET(A1,0,0)	合った	1
=FREQUENCY(A1:A5,B1:B5)	合った	2
=FREQUENCY(A1:A5,2)	名前が通らない	#NAME?
=FREQUENCY(A1:A5,0.2)	名前が通らない	#NAME?
=FREQUENCY(3,A1:A5)	名前が通らない	#NAME?
=FREQUENCY(5,2)	名前が通らない	#NAME?
=FREQUENCY(A1:A5,LAMBDA(x,x*2))	名前が通らない	#NAME?
=PERCENTILE(A1:A5,0.2)	合った	1.8
=PERCENTILE(3,A1:A5)	合った	3
=QUARTILE(A1:A5,B1:B5)	合った	3
=QUARTILE(A1:A5,2)	合った	3
=QUARTILE(A1:A5,0.2)	合った	1
=QUARTILE(3,A1:A5)	合った	3
=QUARTILE(5,2)	合った	5
=DSUM(F1:I3,"数",K1:K2)	合った	30
=DSUM(F1:I3,3,K1:K2)	合った	30
=DAVERAGE(F1:I3,"数",K1:K2)	合った	15
=DAVERAGE(F1:I3,3,K1:K2)	合った	15
=DCOUNT(F1:I3,"数",K1:K2)	合った	2
=DCOUNT(F1:I3,3,K1:K2)	合った	2
=DCOUNTA(F1:I3,"数",K1:K2)	合った	2
=DCOUNTA(F1:I3,3,K1:K2)	合った	2
=DMAX(F1:I3,"数",K1:K2)	合った	20
=DMAX(F1:I3,3,K1:K2)	合った	20
=DMIN(F1:I3,"数",K1:K2)	合った	10
=DMIN(F1:I3,3,K1:K2)	合った	10
=DPRODUCT(F1:I3,"数",K1:K2)	合った	200
=DPRODUCT(F1:I3,3,K1:K2)	合った	200
=DSTDEV(F1:I3,"数",K1:K2)	違う	7.0710678118654755
=DSTDEV(F1:I3,3,K1:K2)	違う	7.0710678118654755
=DSTDEVP(F1:I3,"数",K1:K2)	合った	5
=DSTDEVP(F1:I3,3,K1:K2)	合った	5
=DVAR(F1:I3,"数",K1:K2)	合った	50
=DVAR(F1:I3,3,K1:K2)	合った	50
=DVARP(F1:I3,"数",K1:K2)	合った	25
=DVARP(F1:I3,3,K1:K2)	合った	25
=MAKEARRAY(2,2,LAMBDA(r,c,r*c))	合った	1
=MAP(A1:A5,LAMBDA(x,x*2))	合った	2
=MAP(0,A1:A5,LAMBDA(a,b,a+b))	名前が通らない	#NAME?
=REDUCE(2,2,LAMBDA(r,c,r*c))	名前が通らない	#NAME?
=REDUCE(0,A1:A5,LAMBDA(a,b,a+b))	合った	15
=SCAN(2,2,LAMBDA(r,c,r*c))	名前が通らない	#NAME?
=SCAN(0,A1:A5,LAMBDA(a,b,a+b))	合った	1
=MODE(A1:A5,B1:B5)	こちらだけ誤り	#N/A
=MODE(A1:A5,2)	こちらだけ誤り	#N/A
=MODE(3,A1:A5,B1:B5)	こちらだけ誤り	#N/A
=MODE(3,A1:A5)	こちらだけ誤り	#N/A
=MODE(A1:B2)	合った	2
=MODE(A1,0,0)	こちらだけ誤り	#N/A
=MODE(A1,0,0,2,2)	こちらだけ誤り	#N/A
=MODE(A1:A5,B1:B5,0.1)	こちらだけ誤り	#N/A
=MODE(A1:A5,B1:B5,C1:C5)	こちらだけ誤り	#N/A
=TRIMMEAN(A1:A5,0.2)	合った	3
=PERCENTRANK(A1:A5,B1:B5)	合った	0.25
=PERCENTRANK(A1:A5,2)	合った	0.25
=KURT(A1:A5)	違う	-1.1999999999999993
=KURT(A1:A5,B1:B5)	こちらだけ誤り	#N/A
=KURT(A1:A5,2)	こちらだけ誤り	#N/A
=KURT(A1:A5,0.2)	こちらだけ誤り	#N/A
=KURT(3,A1:A5,B1:B5)	こちらだけ誤り	#N/A
=KURT(3,A1:A5)	こちらだけ誤り	#N/A
=KURT(F1:I3,3,K1:K2)	こちらだけ誤り	#N/A
=KURT(A1:B2)	違う	2.227146814404435
=KURT(A1,0,0,2,2)	こちらだけ誤り	#N/A
=KURT(A1:A5,B1:B5,0.1)	こちらだけ誤り	#N/A
=KURT(A1:A5,B1:B5,C1:C5)	こちらだけ誤り	#N/A
=INTERCEPT(A1:A5,B1:B5)	合った	0
=FORECAST(3,A1:A5,B1:B5)	合った	1.5
=FORECAST(A1:A5,B1:B5,C1:C5)	違う	5.964735516372796
=GESTEP(5,2)	合った	1
=GESTEP(2)	合った	1
=GESTEP(5)	合った	1
=GESTEP(A1)	合った	1
=GESTEP(C1)	合った	1
=PERMUT(A1:A5,0.2)	合った	1
=PERMUT(3,A1:A5)	合った	3
=PERMUT(5,2)	合った	20
=PERMUTATIONA(A1:A5,B1:B5)	合った	1
=PERMUTATIONA(A1:A5,2)	合った	1
=PERMUTATIONA(A1:A5,0.2)	合った	1
=PERMUTATIONA(3,A1:A5)	合った	3
=PERMUTATIONA(5,2)	合った	25
=MDETERM(2)	合った	2
=MDETERM(5)	合った	5
=MDETERM(A1)	合った	1
=MDETERM(C1)	合った	0
=MDETERM(A1:B2)	合った	0
