# ★実Excel に 打たせた AREAS の 答え（4回目・残していた 穴）★
# 取った 日 … 2026-09-07
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326
# ★名前★ ひとつ=1か所 ／ とびとび=2か所 ／ みっつ=3か所
# ★シート★ Sheet1 ／ '二 枚目'（★名前に 空白★）
# 関数	式	実Excel の 答え	型
# ★★2026-09-21 追記（経営者1）── ★この 紙は `.Formula`（★昔の 道★）で 取って います★★
#   ＝`docs/measured/kansuu46/` の 道具 21本は `Formula2` を ★1本も 使って いません★
#   ＝`.Formula` は ★溢れません★（2026-09-19 実測）＝★暗黙の 交わりで 1マス★
#   ⇒★範囲を 渡した 式の 答えは ★1マス目だけ★です（★間違いでは なく 足りない★）
#   ⇒★実測（2026-09-21）★ この 紙の 範囲を 渡す 812本を `Formula2` で 打ち直すと
#      ★昔と 同じ 809本／★違う 3本★（ISERR/ISERROR/ISNUMBER の A1:B5）／★溢れた 416本★
#   ⇒★新しい 道の 紙★ ... docs/measured/golden-furui-kami-torinaoshi-2026-09-21.tsv
#   ⇒★この 紙を 物差しに する 試験は ★昔の 道を 守って います★★
AREAS	=AREAS((とびとび,A1))	3	Double
AREAS	=AREAS((A1,とびとび))	3	Double
AREAS	=AREAS((とびとび,とびとび))	4	Double
AREAS	=AREAS(みっつ)	3	Double
AREAS	=AREAS((みっつ,とびとび))	5	Double
AREAS	=AREAS(( A1 , B2 ))	2	Double
AREAS	=AREAS((A1,A2,A3))	3	Double
AREAS	=AREAS(($A$1,$B$2))	2	Double
AREAS	=AREAS((A1:B2,A1:B2,A1:B2))	3	Double
AREAS	=AREAS('二 枚目'!A1)	1	Double
AREAS	=AREAS(('二 枚目'!A1,'二 枚目'!C3))	2	Double
AREAS	=AREAS((A1:C3 B2:D4,E5))	2	Double
AREAS	=AREAS((A1:C3,B2:D4 C3:E5))	2	Double
AREAS	=AREAS((A:A,1:1))	2	Double
AREAS	=AREAS((A1,B2,C3,D4,E5,F6,G7,H8))	8	Double
