# ★棚 ⑫⑬ を 埋めた★（2026-09-15）＝★書いた 後でも 測る★
#   ⑫ MATCH の 型 -1（今は 実測 3本に 合わせた 模型）
#   ⑬ ①2次元の 並び ②後ろが 空 ③ワイルドカードの ~ ④番地の 無い 表 ⑤横1本の 表
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326
# ★★打った マスを 1本ずつ 書いて います★★（1列目・全部 N1）
# ★前の 式の 跡を 消してから 打ち、CalculateFull してから 読んで います★
# ★★材料（機械が 読む）★★ … #材料<タブ>マス<タブ>値<タブ>型
#   A＝昇順 1..5 ／ B＝2,4,6,8,10 ／ ★C＝10,8,6,4,2（ちゃんと 降順）★
#   ★E＝1,3,5,空,空（後ろが 空）★ ／ ★F＝5,1,4,2,3（崩れた 並び）★
#   D＝a*b／p?q／plain（★型紙の 字そのもの★） ／ ★H1:J1＝7,8,9（横1本）★
# ★★2つ目の 窓★★ … 答えが 0 の 行だけ `=(式)=0` の 真偽も 取って 在ります（5列目）
#材料	A1	1	数
#材料	A2	2	数
#材料	A3	3	数
#材料	A4	4	数
#材料	A5	5	数
#材料	B1	2	数
#材料	B2	4	数
#材料	B3	6	数
#材料	B4	8	数
#材料	B5	10	数
#材料	C1	10	数
#材料	C2	8	数
#材料	C3	6	数
#材料	C4	4	数
#材料	C5	2	数
#材料	D1	a*b	字
#材料	D2	p?q	字
#材料	D3	plain	字
#材料	E1	1	数
#材料	E2	3	数
#材料	E3	5	数
#材料	E4		空
#材料	E5		空
#材料	F1	5	数
#材料	F2	1	数
#材料	F3	4	数
#材料	F4	2	数
#材料	F5	3	数
#材料	H1	7	数
#材料	I1	8	数
#材料	J1	9	数
# 打ったマス	式	実Excel の 答え	型	窓②=0の真偽	何を 測って いるか
# ★★2026-09-21 追記（経営者1）── ★この 紙は `.Formula`（★昔の 道★）で 取って います★★
#   ＝`docs/measured/kansuu46/` の 道具 21本は `Formula2` を ★1本も 使って いません★
#   ＝`.Formula` は ★溢れません★（2026-09-19 実測）＝★暗黙の 交わりで 1マス★
#   ⇒★範囲を 渡した 式の 答えは ★1マス目だけ★です（★間違いでは なく 足りない★）
#   ⇒★実測（2026-09-21）★ この 紙の 範囲を 渡す 812本を `Formula2` で 打ち直すと
#      ★昔と 同じ 809本／★違う 3本★（ISERR/ISERROR/ISNUMBER の A1:B5）／★溢れた 416本★
#   ⇒★新しい 道の 紙★ ... docs/measured/golden-furui-kami-torinaoshi-2026-09-21.tsv
#   ⇒★この 紙を 物差しに する 試験は ★昔の 道を 守って います★★
N1	=MATCH(6,C1:C5,-1)	3	Double	-	⑫ 降順・ぴたり 在り
N1	=MATCH(7,C1:C5,-1)	2	Double	-	⑫ 降順・間（以上で 一番 小さいのは 8＝2番目）
N1	=MATCH(10,C1:C5,-1)	1	Double	-	⑫ 降順・先頭
N1	=MATCH(2,C1:C5,-1)	5	Double	-	⑫ 降順・最後
N1	=MATCH(1,C1:C5,-1)	5	Double	-	⑫ 降順・全部より 小さい
N1	=MATCH(11,C1:C5,-1)	#N/A	error値	-	⑫ 降順・全部より 大きい
N1	=MATCH(4,F1:F5,-1)	1	Double	-	⑫ 崩れた 並び・4
N1	=MATCH(3,F1:F5,-1)	1	Double	-	⑫ 崩れた 並び・3
N1	=MATCH(5,F1:F5,-1)	1	Double	-	⑫ 崩れた 並び・5
N1	=MATCH(1,F1:F5,-1)	2	Double	-	⑫ 崩れた 並び・1
N1	=MATCH(2,F1:F5,1)	#N/A	error値	-	⑫ 崩れた 並び・型 1（くらべる 相手）
N1	=MATCH(4,F1:F5,1)	3	Double	-	⑫ 崩れた 並び・型 1
N1	=MATCH(3,A1:B5,0)	#N/A	error値	-	⑬① 2次元の 並び・ぴたり
N1	=MATCH(3,A1:B5,1)	#N/A	error値	-	⑬① 2次元の 並び・型 1
N1	=MATCH(99,A1:B5,0)	#N/A	error値	-	⑬① 2次元の 並び・無い
N1	=MATCH(9,E1:E5,1)	3	Double	-	⑬② 後ろが 空・全部より 大きい
N1	=MATCH(3,E1:E5,1)	2	Double	-	⑬② 後ろが 空・ぴたり
N1	=MATCH(4,E1:E5,1)	2	Double	-	⑬② 後ろが 空・間
N1	=MATCH(0,E1:E5,1)	#N/A	error値	-	⑬② 後ろが 空・全部より 小さい
N1	=MATCH(5,E1:E5,1)	3	Double	-	⑬② 後ろが 空・最後の 数
N1	=MATCH("a*b",D1:D3,0)	1	Double	-	⑬③ ＊を そのまま 探す（型紙として 見ると 全部 当たる）
N1	=MATCH("a~*b",D1:D3,0)	1	Double	-	⑬③ ~＊＝★の 字そのもの
N1	=MATCH("p~?q",D1:D3,0)	2	Double	-	⑬③ ~？
N1	=MATCH("p?q",D1:D3,0)	2	Double	-	⑬③ ？を 型紙として
N1	=MATCH("~*",D1:D3,0)	#N/A	error値	-	⑬③ ~＊ だけ
N1	=INDEX({1;2;3},0)	1	Double	-	⑬④ 直に 書いた 表・行 0
N1	=SUM(INDEX({1;2;3},0))	6	Double	-	⑬④ 同上を 足す
N1	=INDEX({1;2;3},2)	2	Double	-	⑬④ 直に 書いた 表・2番目
N1	=INDEX({1,2;3,4},0,2)	2	Double	-	⑬④ 直に 書いた 2次元・列 まるごと
N1	=SUM(INDEX({1,2;3,4},0,2))	6	Double	-	⑬④ 同上を 足す
N1	=INDEX(H1:J1,2)	8	Double	-	⑬⑤ 横1本・番号 1つ
N1	=INDEX(H1:J1,1,2)	8	Double	-	⑬⑤ 横1本・行と 列
N1	=INDEX(H1:J1,2,1)	#REF!	error値	-	⑬⑤ 横1本・行を 2 に すると
N1	=INDEX(H1:J1,0,2)	8	Double	-	⑬⑤ 横1本・行 0
N1	=MATCH(8,H1:J1,0)	2	Double	-	⑬⑤ 横1本を MATCH で
