# ★書式の 台が 何を すれば よいか 実Excel に 聞いた★（2026-09-15）
#   ★測って 選んだ 書式★＝司さんの 実物が 実際に 使って いる 物
#     ㋐TEXT 740回 … aaa（731）／m/d（9）の ★2種類だけ★
#     ㋑画面 67,542マス … 18種（★伏せ字の 4種を 除いた 14種＝99.9% を 賄う★）
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326
# ★★列の 幅を 40 に 広げて から 読んで います★★（`.Text` は 狭いと ### に なる）
# ★★「この国の 字」と「世界共通の 字」を 並べて 在ります★★
#   1列目 … NumberFormatLocal（★TEXT に 渡すのは こちら★）
#   2列目 … NumberFormat（世界共通）
# ★★一番 大事な 列＝7列目★★
#   ★マスに 付けた 時の 見た目★と ★TEXT() に 渡した 時★が 同じか
#   ⇒★違う 行 … 30 本★（0 なら ★台は 1つで 足ります★）
# ★★2つ目の 窓★★ … 見た目が 0 の 行だけ `=(B行)=0` の 真偽も 取って 在ります（9列目）
#   ＝`.Value2` は ★0 で ない 値に 0 を 返す★事が 在る（足し引きで 終わる 式）
#   ★この 道具は 生の 数を 置くだけ★＝見せかけの 0 は 出ない はずですが ★測って 出します★
# 番号
# ★★2026-09-21 追記（経営者1）── ★この 紙は `.Formula`（★昔の 道★）で 取って います★★
#   ＝`docs/measured/kansuu46/` の 道具 21本は `Formula2` を ★1本も 使って いません★
#   ＝`.Formula` は ★溢れません★（2026-09-19 実測）＝★暗黙の 交わりで 1マス★
#   ⇒★範囲を 渡した 式の 答えは ★1マス目だけ★です（★間違いでは なく 足りない★）
#   ⇒★実測（2026-09-21）★ この 紙の 範囲を 渡す 812本を `Formula2` で 打ち直すと
#      ★昔と 同じ 809本／★違う 3本★（ISERR/ISERROR/ISNUMBER の A1:B5）／★溢れた 416本★
#   ⇒★新しい 道の 紙★ ... docs/measured/golden-furui-kami-torinaoshi-2026-09-21.tsv
#   ⇒★この 紙を 物差しに する 試験は ★昔の 道を 守って います★★
	
書式(この国)
	
書式(世界)
	
値の名
	
値
	
マスの見た目
	
TEXT()の答え
	
同じか
	
窓②=0の真偽
	
型
1	G/標準	G/標準	数0	0	0	0	同じ	TRUE	Number
2	G/標準	G/標準	数1234.5	1234.5	1234.5	1234.5	同じ	-	Number
3	G/標準	G/標準	数-1234.5	-1234.5	-1234.5	-1234.5	同じ	-	Number
4	G/標準	G/標準	数1234567	1234567	1234567	1234567	同じ	-	Number
5	G/標準	G/標準	数0.5	0.5	0.5	0.5	同じ	-	Number
6	G/標準	G/標準	数-0.5	-0.5	-0.5	-0.5	同じ	-	Number
7	G/標準	G/標準	数0.004	0.004	0.004	0.004	同じ	-	Number
8	G/標準	G/標準	数-0.004	-0.004	-0.004	-0.004	同じ	-	Number
9	G/標準	G/標準	日45292	45292	45292	45292	同じ	-	Number
10	G/標準	G/標準	日45658	45658	45658	45658	同じ	-	Number
11	G/標準	G/標準	時0.5208	0.520833333333333	0.520833333	0.520833333	同じ	-	Number
12	G/標準	G/標準	数1.5	1.5	1.5	1.5	同じ	-	Number
13	#,##0_ 	#,##0_ 	数0	0	0 	0 	同じ	TRUE	Number
14	#,##0_ 	#,##0_ 	数1234.5	1234.5	1,235 	1,235 	同じ	-	Number
15	#,##0_ 	#,##0_ 	数-1234.5	-1234.5	-1,235 	-1,235 	同じ	-	Number
16	#,##0_ 	#,##0_ 	数1234567	1234567	1,234,567 	1,234,567 	同じ	-	Number
17	#,##0_ 	#,##0_ 	数0.5	0.5	1 	1 	同じ	-	Number
18	#,##0_ 	#,##0_ 	数-0.5	-0.5	-1 	-1 	同じ	-	Number
19	#,##0_ 	#,##0_ 	数0.004	0.004	0 	0 	同じ	FALSE	Number
20	#,##0_ 	#,##0_ 	数-0.004	-0.004	0 	0 	同じ	FALSE	Number
21	#,##0_ 	#,##0_ 	日45292	45292	45,292 	45,292 	同じ	-	Number
22	#,##0_ 	#,##0_ 	日45658	45658	45,658 	45,658 	同じ	-	Number
23	#,##0_ 	#,##0_ 	時0.5208	0.520833333333333	1 	1 	同じ	-	Number
24	#,##0_ 	#,##0_ 	数1.5	1.5	2 	2 	同じ	-	Number
